# AdAway default blocklist
# Blocking mobile ad providers and some analytics providers
# 
# Contribute:
# Create an issue at https://github.com/dschuermann/ad-away/issues
#
# Changelog:
# 2014-05-18 Now with a valid SSL certificate available at https://adaway.org/hosts.txt
# 2013-03-29 Integrated some hosts from
#            http://adblock.gjtech.net/?format=hostfile
# 2013-03-14 Back from the dead
# 
# License:
# CC Attribution 3.0 (http://creativecommons.org/licenses/by/3.0/)
#
# Contributions by:
# Kicelo, Dominik Schuermann
#

127.0.0.1 s.amazon-adsystem.com

# [Hosted on Amazon AWS]
127.0.0.1 admarvel.s3.amazonaws.com
127.0.0.1 html5adkit.plusmo.s3.amazonaws.com
127.0.0.1 inneractive-assets.s3.amazonaws.com
127.0.0.1 strikeadcdn.s3.amazonaws.com

# [Admob]
127.0.0.1 a.admob.com
127.0.0.1 analytics.admob.com
127.0.0.1 c.admob.com
127.0.0.1 media.admob.com
127.0.0.1 p.admob.com

# [AdWhirl]
127.0.0.1 met.adwhirl.com
127.0.0.1 mob.adwhirl.com

# [Doubleclick (Google)]
127.0.0.1 ad-g.doubleclick.net
127.0.0.1 ad.doubleclick.net
127.0.0.1 ad.mo.doubleclick.net
127.0.0.1 doubleclick.net
127.0.0.1 googleads.g.doubleclick.net

# [Google]
127.0.0.1 pagead.googlesyndication.com
127.0.0.1 pagead1.googlesyndication.com
127.0.0.1 pagead2.googlesyndication.com

# [National Rail Enquiries, https://play.google.com/store/apps/details?id=uk.co.nationalrail.google]
127.0.0.1 events.foreseeresults.com
127.0.0.1 survey.foreseeresults.com
127.0.0.1 m.quantserve.com

# [leadboltmobile]
127.0.0.1 ad.leadboltmobile.net

# [MSN Ads, in Skype]
127.0.0.1 mobileads.msn.com

# [https://play.google.com/store/apps/details?id=myapp.devilbaby.android.music.newmusic]
127.0.0.1 img.adecorp.co.kr
127.0.0.1 us0.adlibr.com
127.0.0.1 ad.parrot.mable-inc.com

# [http://play.google.com/store/apps/details?id=com.chuangkai.phonehelper]
127.0.0.1 aos.wall.youmi.net
127.0.0.1 au.youmi.net

# [http://play.google.com/store/apps/details?id=com.coconuts.webnavigator]
127.0.0.1 coconuts.boy.jp
127.0.0.1 iacpromotion.s3.amazonaws.com
127.0.0.1 plugin.2easydroid.com

# [http://play.google.com/store/apps/details?id=com.babjul.billboard]
127.0.0.1 adimg3.search.naver.net

# [http://play.google.com/store/apps/details?id=com.taeyang.billboardtop]
127.0.0.1 st.a-link.co.kr
127.0.0.1 cdn.ajillionmax.com
127.0.0.1 dispatch.admixer.co.kr
127.0.0.1 ifc.inmobi.com
127.0.0.1 thinknear-hosted.thinknearhub.com

#
# ANALYTICS
#
127.0.0.1 analytics.localytics.com

# [Medialytics]
127.0.0.1 a.medialytics.com
127.0.0.1 c.medialytics.com
127.0.0.1 cdn.creative.medialytics.com
127.0.0.1 p.medialytics.com
127.0.0.1 px.cdn.creative.medialytics.com
127.0.0.1 t.medialytics.com

# [Google]
127.0.0.1 google-analytics.com
127.0.0.1 googlesyndication.com

# [applift]
127.0.0.1 applift.com
# use finer grained hostnames?
#127.0.0.1 tracking.applift.com

